scenario,metric,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
conservative,campaigns_selfserve,0,0,0,0,1,1,2,2,3,3,4,5
conservative,campaigns_managed,2,2,3,3,4,4,5,5,6,6,7,7
conservative,aov_selfserve,600,600,600,600,600,600,600,600,600,600,600,600
conservative,aov_managed,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
conservative,gmv,3600,3600,5400,5400,7800,7800,10200,10200,12600,12600,15000,15600
conservative,platform_revenue,1440,1440,2160,2160,3000,3000,3840,3840,4680,4680,5520,5640
conservative,buyer_fees,0,0,0,0,30,30,60,60,90,90,120,150
conservative,processing_costs,105,105,157.5,157.5,228.57,228.57,299.64,299.64,370.71,370.71,441.78,460.35
conservative,payout_costs,5.9,5.9,8.85,8.85,13.25,13.25,17.65,17.65,22.05,22.05,26.45,27.9
conservative,refund_reserve,108,108,162,162,234,234,306,306,378,378,450,468
conservative,chargeback_reserve,72,72,108,108,156,156,204,204,252,252,300,312
conservative,ops_labor_cost,640,640,960,840,1200,1200,1360,1360,1680,1440,1720,1800
conservative,creative_labor_cost,240,240,360,360,480,480,600,600,720,720,840,840
conservative,sales_commission,0,0,0,0,0,0,0,0,0,0,0,0
conservative,tools_cost,300,300,300,300,300,300,300,300,300,300,300,300
conservative,insurance_cost,137.5,137.5,156.25,156.25,175,175,193.75,193.75,212.5,212.5,231.25,231.25
conservative,cac_spend,250,250,250,250,250,250,250,250,250,250,250,250
conservative,contribution_margin,-418.4,-418.4,-302.6,-182.6,-6.82,-6.82,368.96,368.96,584.74,824.74,1080.52,1100.5
conservative,cumulative_contribution,-418.4,-836.8,-1139.4,-1322,-1328.82,-1335.64,-966.68,-597.72,-12.98,811.76,1892.28,2992.78
base,campaigns_selfserve,0,0,0,2,3,4,5,6,8,9,11,12
base,campaigns_managed,4,4,5,5,6,6,7,8,8,9,9,10
base,aov_selfserve,750,750,750,750,750,750,750,750,750,750,750,750
base,aov_managed,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
base,gmv,8800,8800,11000,12500,15450,16200,19150,22100,23600,26550,28050,31000
base,platform_revenue,3520,3520,4400,4700,5730,5880,6910,7940,8240,9270,9570,10600
base,buyer_fees,0,0,0,75,112.5,150,187.5,225,300,337.5,412.5,450
base,processing_costs,256.4,256.4,320.5,366.78,454.01,477.15,564.39,651.63,697.9,785.14,831.41,918.65
base,payout_costs,14.2,14.2,17.75,21.25,26.55,28.3,33.6,38.9,42.4,47.7,51.2,56.5
base,refund_reserve,264,264,330,375,463.5,486,574.5,663,708,796.5,841.5,930
base,chargeback_reserve,176,176,220,250,309,324,383,442,472,531,561,620
base,ops_labor_cost,1280,1280,1400,1520,1620,1680,1700,1960,1760,1980,2100,2320
base,creative_labor_cost,400,400,500,500,600,600,700,800,800,900,900,1000
base,sales_commission,0,0,0,0,0,0,184.8,211.2,211.2,316.8,316.8,352
base,tools_cost,300,300,300,300,300,300,300,300,300,300,300,300
base,insurance_cost,175,175,193.75,193.75,212.5,212.5,231.25,250,250,268.75,268.75,287.5
base,cac_spend,400,400,400,500,500,500,600,600,600,800,800,800
base,contribution_margin,254.4,254.4,718,748.23,1356.94,1422.05,1825.96,2248.28,2698.5,2881.61,3011.84,3465.35
base,cumulative_contribution,254.4,508.8,1226.8,1975.03,3331.96,4754.01,6579.98,8828.25,11526.75,14408.36,17420.2,20885.55
upside,campaigns_selfserve,0,0,3,5,7,9,12,15,18,22,26,30
upside,campaigns_managed,4,6,7,8,9,10,11,12,13,14,15,16
upside,aov_selfserve,900,900,900,900,900,900,900,900,900,900,900,900
upside,aov_managed,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
upside,gmv,10000,15000,20200,24500,28800,33100,38300,43500,48700,54800,60900,67000
upside,platform_revenue,4000,6000,7540,8900,10260,11620,13160,14700,16240,17960,19680,21400
upside,buyer_fees,0,0,135,225,315,405,540,675,810,990,1170,1350
upside,processing_costs,291.2,436.8,592.72,720.93,849.13,977.35,1133.26,1289.17,1445.09,1628.71,1812.33,1995.95
upside,payout_costs,16,24,34.15,42.25,50.35,58.45,68.6,78.75,88.9,101.1,113.3,125.5
upside,refund_reserve,300,450,606,735,864,993,1149,1305,1461,1644,1827,2010
upside,chargeback_reserve,200,300,404,490,576,662,766,870,974,1096,1218,1340
upside,ops_labor_cost,1280,1680,1800,1800,2080,1960,2240,2040,2280,2560,2240,2480
upside,creative_labor_cost,400,600,700,800,900,1000,1100,1200,1300,1400,1500,1600
upside,sales_commission,0,0,0,0,450,500,550,600,650,700,750,800
upside,tools_cost,300,300,300,300,300,300,300,300,300,300,300,300
upside,insurance_cost,175,212.5,231.25,250,268.75,287.5,306.25,325,343.75,362.5,381.25,400
upside,cac_spend,500,500,750,750,1000,1000,1250,1250,1500,1500,1500,1500
upside,contribution_margin,537.8,1496.7,2256.89,3236.83,3236.76,4286.7,4836.89,6117.08,6707.26,7657.69,9208.12,10198.55
upside,cumulative_contribution,537.8,2034.5,4291.39,7528.21,10764.98,15051.68,19888.57,26005.65,32712.9,40370.6,49578.71,59777.26
