# DEMO DATA — all 12 rows are fictional sample listings for demos/seeding only (D-020). No real sellers, venues, or audience claims. Statuses are legal Listing states from app/src/lib/state-machines.ts; prices respect the $250 minimum (D-005). Poker row follows DECISIONS.md D-008 exactly.
listing_title,seller_display_name,category,city,base_price_usd,package_count,venue_approval_required,permits_required,risk_level,proof_method,status,notes
"Sponsor Aaron at a $200 Denver poker tournament","Aaron D.","People & Moments","Denver",450,3,TRUE,FALSE,HIGH,"Timestamped photos + short video at the table; geotagged; disclosure visible","LIVE","DEMO. D-008 flagship: 3 tiers ($450/$750/$1,500); no branding until venue approves in writing; no share of winnings; no financial interest in gambling result; no guaranteed impressions; restricted-category exception on file"
"Race kit sponsorship: amateur road cyclist season","Marisol V.","Sports & Athletics","Denver",750,3,FALSE,FALSE,LOW,"Photos of branded kit at each race start line + finish-line timestamped photo","LIVE","DEMO. Event organizer kit rules verified per race; no audience estimate provided"
"Coffee-cart takeover: branded morning cart, RiNo","Beans on Blake (demo cart)","Spaces & Vehicles","Denver",1200,2,TRUE,TRUE,MEDIUM,"Timestamped photos of wrapped cart on site + hourly crowd context shots","LIVE","DEMO. Cart owner's site host must approve; street vending permit tracked in Permit queue"
"Sponsor a Denver dog-walking day","Tessa & Biscuit","People & Moments","Denver",500,2,FALSE,TRUE,LOW,"Geotagged route photos with branded bandana/leash + midday video","APPROVED","DEMO. D-017 stunt #2; park-use rules check tracked; wholesome, high content output"
"Mural wall: 30-day sponsored artwork credit, Santa Fe Arts District","Colfax Colorworks (demo artist)","Spaces & Vehicles","Denver",2500,2,TRUE,TRUE,MEDIUM,"Photo of completed wall with sponsor credit + weekly condition photos for 30 days","UNDER_REVIEW","DEMO. Wall owner approval REQUIRED; city sign-code check queued as Permit row"
"Food-truck wrap: 2-week lunch-route branding","Green Chile Republic (demo truck)","Spaces & Vehicles","Denver",1800,3,FALSE,FALSE,LOW,"Daily timestamped photo at each stop + one lunch-rush video","LIVE","DEMO. Truck owner controls vehicle; wrap install/removal included in package"
"Convention attendee: branded backpack + booth-visit vlog","Devon K.","Events & Conventions","Denver",600,2,TRUE,FALSE,MEDIUM,"Timestamped floor photos + published vlog link with #ad disclosure","SUBMITTED","DEMO. Convention's attendee-conduct and badge rules must be approved before booking"
"Climbing-gym comp: sponsored competitor + chalk-bag branding","Ana R.","Sports & Athletics","Denver",450,2,TRUE,FALSE,MEDIUM,"Comp-day photos with visible branding + results-page screenshot (no placement promised)","LIVE","DEMO. Gym approval required for on-floor branding; no performance guarantees"
"Park-run series: branded pacer for 5 Saturday runs","Miguel T.","Sports & Athletics","Denver",800,2,FALSE,TRUE,LOW,"Geotagged start/finish photos each Saturday + group photo with disclosure sign","LIVE","DEMO. D-017-adjacent; parks pre-permit requirement tracked; bystander-release note in moderation checklist"
"Independent bookstore window: 2-week sponsored display","Fifth Page Books (demo shop)","Spaces & Vehicles","Denver",950,2,FALSE,FALSE,LOW,"Install-day timestamped photos + weekly window photos from street","PAUSED","DEMO. Shop-owned window (no venue approval needed); paused for holiday display, relists after"
"Podcast live taping: presenting sponsor, Denver venue","Mile High Rewind (demo podcast)","Events & Conventions","Denver",1500,3,TRUE,FALSE,LOW,"Live-read recording clip + stage-banner photos + published episode link with disclosure","LIVE","DEMO. Venue approval for banner placement; audio disclosure required in live read (16 CFR 255)"
"Farmers-market booth: branded sampling table, 4 Sundays","Prairie & Pine Goods (demo vendor)","Spaces & Vehicles","Denver",700,2,TRUE,TRUE,LOW,"Timestamped booth photos each Sunday + market-manager confirmation note","DRAFT","DEMO. Market operator approval + vendor-permit rules tracked; food sampling rules flagged for moderation"
